threshold	tb-1500	tb-4000	gt-1500	gt-4000	qt-1500	qt-4000
0	2.27	3.58	1.39	3.42	2.74	4.00
16640	4.86	5.83	5.32	6.87	8.45	7.48
33280	6.23	7.74	5.88	7.70	9.31	8.34
49920	7.91	8.16	6.23	8.16	9.64	8.72
66560	8.28	8.64	6.51	8.44	9.81	8.92
83200	8.83	9.03	6.67	8.63	9.86	9.10
99840	9.19	9.29	7.01	8.79	9.90	9.26
116480	9.48	9.49	7.31	8.96	9.91	9.37
133120	9.65	9.55	7.55	9.07	9.92	9.42
149760	9.74	9.62	7.74	9.16	9.93	9.54
166400	9.78	9.65	7.88	9.19	9.93	9.61
183040	9.83	9.75	7.83	9.31	9.93	9.69
199680	9.86	9.72	7.88	9.30	9.93	9.77
